,Food Item ID,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,WATER(g),FAT(g),FATCE(g),FAT-(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),XFA (internal use),FACID(g),FAPUN3(g),FAPUN6(g),FAPUN9(g),FAPUCN3(g),FAPULCCN3(g),FAPUCN6(g),FAPUCN9(g),FAN3(g),FAN6(g),F4D0(g),F6D0(g),F8D0(g),F9D0(g),F10D0(g),F11D0(g),F12D0(g),F13D0(g),F14D0(g),F14D0I(g),F15D0(g),F15D0I(g),F16D0(g),F16D0I(g),F16D0AI(g),F17D0(g),F17D0I(g),F17D0AI(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F12D1(g),F14D1N9(g),F14D1N7(g),F14D1N5(g),F14D1N3(g),F14D1(g),F15D1N9(g),F15D1N7(g),F15D1(g),F16D1N11(g),F16D1N9(g),F16D1TN7(g),F16D1N7(g),F16D1(g),F17D1N9(g),F17D1N8(g),F17D1N7(g),F17D1N5(g),F17D1(g),F18D1CN11(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N6(g),F18D1N5(g),F18D1T(g),F18D1(g),F19D1N11(g),F19D1N9(g),F20D1CN11(g),F20D1N11(g),F20D1N9(g),F20D1N8(g),F20D1N7(g),F20D1T(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1(g),F16D2N7(g),F16D2N6(g),F16D2N4(g),F16D2(g),F18D2CN6(g),F18D2TTN6(g),F18D2TN6(g),F18D2N6(g),F18D2N5(g),F18D2N4(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2C(g),F22D2(g),F16D3N4(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3TN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3N3(g),F16D4N4(g),F16D4N3(g),F16D4N1(g),F16D4(g),F18D4N3(g),F18D4N1(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3(g),F21D5(g),F22D5N6(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F18D1N7_A_F18D1N9(g),F18D1N11_A_F20D1N9(g),F20D1N9_A_F20D1N11(g),F20D4N6_A_F22D1(g),F22D1N9_A_F22D1N11(g),F20D1N11_A_F20D1N13(g),F22D1N11_A_F22D1N13(g),Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248
0,,,sampling place,F: Farmed; W: Wild,,,,,"r: raw, d: dried, p: processed",,,,sampling season,additional information on factors influencing the nutrient composition,number of independent analytical samples,,,,,,Water,"Fat, total","Fat, total; derived by analysis using continuous extraction",Fat; method of determination unknown or mixed methods,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Other fatty acids, not specified","Fatty acids, total trans",Fatty acid conversion factor for internal use,"Fatty acids, total","Fatty acids, total n-3 polyunsaturated","Fatty acids, total n-6 polyunsaturated","Fatty acids, total n-9 polyunsaturated","fatty acids, total n-3 polyunsaturated in cis configuration","fatty acids, total n-3 long-chain polyunsaturated in cis configuration","fatty acids, total n-6 polyunsaturated in cis configuration","fatty acids, total n-9 polyunsaturated in cis configuration","Fatty acid, total n-3","Fatty acid, total n-6",Fatty acid 4:0,Fatty acid 6:0,Fatty acid 8:0,Fatty acid 9:0,Fatty acid 10:0,Fatty acid 11:0,Fatty acid 12:0,Fatty acid 13:0,Fatty acid 14:0,Fatty acid 14:0 iso,Fatty acid 15:0,Fatty acid 15:0 iso,Fatty acid 16:0,Fatty acid 16:0 iso,Fatty acid 16:0 anteiso,Fatty acid 17:0,Fatty acid 17:0 iso,Fatty acid 17:0 anteiso,Fatty acid 18:0,Fatty acid 19:0,Fatty acid 20:0,Fatty acid 21:0,Fatty acid 22:0,Fatty acid 23:0,Fatty acid 24:0,Fatty acid 12:1,Fatty acid 14:1 n-9,Fatty acid 14:1 n-7,Fatty acid 14:1 n-5,Fatty acid 14:1 n-3,Fatty acid 14:1,Fatty acid 15:1 n-9,Fatty acid 15:1 n-7,Fatty acid 15:1,Fatty acid 16:1 n-11,Fatty acid 16:1 n-9,Fatty acid 16:1 trans n-7,Fatty acid 16:1 n-7,Fatty acid 16:1,Fatty acid 17:1 n-9,Fatty acid 17:1 n-8,Fatty acid 17:1 n-7,Fatty acid 17:1 n-5,Fatty acid 17:1,Fatty acid 18:1 cis n-11,Fatty acid 18:1 n-11,Fatty acid 18:1 cis n-9,Fatty acid 18:1 trans n-9,Fatty acid 18:1 n-9,Fatty acid 18:1 cis n-7,Fatty acid 18:1 n-7,fatty acid 18:1 n-6,Fatty acid 18:1 n-5,Fatty acid 18:1 trans,Fatty acid 18:1,Fatty acid 19:1 n-11,Fatty acid 19:1 n-9,Fatty acid 20:1 cis n-11,Fatty acid 20:1 n-11,Fatty acid 20:1 n-9,Fatty acid 20:1 n-8,Fatty acid 20:1 n-7,Fatty acid 20:1 trans,Fatty acid 20:1,Fatty acid 22:1 n-11,Fatty acid 22:1 n-9,Fatty acid 22:1 trans,Fatty acid 22:1,Fatty acid 24:1 n-9,Fatty acid 24:1,Fatty acid 16:2 n-7,Fatty acid 16:2 n-6,Fatty acid 16:2 n-4,Fatty acid 16:2,Fatty acid 18:2 cis n-6,"Fatty acid 18:2 trans9, trans12 n6",Fatty acid 18:2 trans n-6,Fatty acid 18:2 n-6,Fatty acid 18:2 n-5,Fatty acid 18:2 n-4,Fatty acid 18:2 trans,Fatty acid 18:2,Fatty acid 20:2 n-9,Fatty acid 20:2 n-6,Fatty acid 20:2 cis,Fatty acid 20:2,Fatty acid 22:2 n-6,Fatty acid 22:2 cis,Fatty acid 22:2,Fatty acid 16:3 n-4,Fatty acid 16:3 n-3,Fatty acid 16:3,Fatty acid 18:3 cis n-6,Fatty acid 18:3 n-6,Fatty acid 18:3 n-4,Fatty acid 18:3 cis n-3,Fatty acid 18:3 trans n-3,Fatty acid 18:3 n-3,Fatty acid 18:3,Fatty acid 20:3 n-9,Fatty acid 20:3 n-6,Fatty acid 20:3 n-3,Fatty acid 20:3,Fatty acid 22:3 n-6,Fatty acid 22:3 n-3,Fatty acid 16:4 n-4,Fatty acid 16:4 n-3,Fatty acid 16:4 n-1,Fatty acid 16:4,Fatty acid 18:4 n-3,Fatty acid 18:4 n-1,Fatty acid 18:4,Fatty acid 20:4 cis n-6,Fatty acid 20:4 n-6,Fatty acid 20:4 n-3,Fatty acid 20:4,Fatty acid 22:4 n-6,Fatty acid 22:4 n-3,Fatty acid 22:4,Fatty acid 20:5 cis n-3,Fatty acid 20:5 n-3,Fatty acid 20:5,Fatty acid 21:5 n-3,Fatty acid 21:5,Fatty acid 22:5 n-6,Fatty acid 22:5 n-3,Fatty acid 22:5,Fatty acid 22:6 cis n-3,Fatty acid 22:6 n-3,Fatty acid 22:6,Fatty acid 18:1 n-7 + fatty acid 18:1 n-9,Fatty acid 18:1 n-11 + fatty acid 20:1 n-9,Fatty acid 20:1 n-9 + fatty acid 20:1 n-11,Fatty acid 20:4 n-6 + fatty acid 22:1 ,Fatty acid 22:1 n-9 + fatty acid 22:1 n-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,901305.0,Finfish,"Unknown (samples from a retailer market at Ijmuiden, Netherlands)",F,13.0,CLZ,,"African catfish, farmed, skinless, bonless fillet, raw",r,Clarias gariepinus,North African catfish,Clarias gariepinus,,,5,,2007.0,fi1,DR,1.0,75.68,,5.7,,1.61167,1.52145,1.78807,,,,4.9367,1.18786,0.60021,,,,,,,,,,,,,,,,0.20275,0.00755,0.02101,,1.06959,0.00279,0.00518,0.01625,,,0.28367,0.009,0.00941,,,,,,,,,,,,,,,,,0.25208,,,0.00518,,,,,,,,0.84239,,0.13477,,,,,,,,,0.15672,,0.00973,,,0.10753,0.01304,,,,,,,,,,,,0.51432,,,,,,,,,,,,,0.01005,,,0.01036,,,,0.08383,,,,0.00787,,,,,0.02059,,,0.06509,,,,0.02463,0.04296,,0.01708,,,,0.29574,,,,0.00683,0.08895,,,0.57279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,901306.0,Finfish,"Unknown (samples from a retailer market at Ijmuiden, Netherlands)",F,13.0,CLZ,,"African catfish, farmed, skinless, boneless fillet, boiled",p,Clarias gariepinus,North African catfish,Clarias gariepinus,,"boiled in salted water (1.5%), 100 °C, 7min; relation fish/water 1:2",5,,2007.0,fi1,DR,1.0,71.08,,5.9,,1.69097,1.52946,1.89437,,,,5.13141,1.22311,0.67126,,,,,,,,,,,,,,,,0.21862,0.00791,0.0226,,1.12111,0.00323,0.00547,0.01643,,,0.29241,0.01038,0.00941,,,,,,,,,,,,,,,,,0.26407,,,0.00533,,,,,,,,0.85335,,0.14004,,,,,,,,,0.15293,,0.00943,,,0.09746,0.00685,,,,,,,,,,,,0.61212,,,,,,,,,,,,,0.01008,,,0.01017,,,,0.08739,,,,0.00474,,,,,0.02308,,,0.06804,,,,0.02693,0.04333,,0.01687,,,,0.31064,,,,0.00517,0.08869,,,0.58712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,901307.0,Finfish,"Unknown (samples from a retailer market at Ijmuiden, Netherlands)",F,13.0,CLZ,,"African catfish, farmed, skinless, boneless fillet, fried in vegetable oil",p,Clarias gariepinus,North African catfish,Clarias gariepinus,,"fried: fish spiked with 1.5% salt, after 15min salt was partially removed; coated in wheat flour, fried in veg oil: 5min, 180 °C",5,,2007.0,fi1,DR,1.0,[63.32],,[9.3],,2.16964,2.39367,3.89938,,,,8.47809,1.25807,2.64131,,,,,,,,,,,,,,,,0.20934,0.00737,0.0216,,1.49515,0.0029,0.00513,0.01694,,,0.40085,0.01028,0.01548,,,,,,,,,,,,,,,,,0.25592,,,0.00481,,,,,,,,1.70779,,0.1586,,,,,,,,,0.15036,,0.00978,,,0.09336,0.01306,,,,,,,,,,,,2.58239,,,,,,,,,,,,,0.01031,,,0.01083,,,,0.08951,,,,0.00327,,,,,0.0228,,,0.06709,,,,0.02763,0.04309,,0.0169,,,,0.31578,,,,0.00355,0.09421,,,0.61202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,901308.0,Finfish,"Unknown (samples from a retailer market at Ijmuiden, Netherlands)",F,13.0,CLZ,,"African catfish, farmed, skinless, boneless fillet, grilled",p,Clarias gariepinus,North African catfish,Clarias gariepinus,,"grilled: fish spiked with 1.5% salt, after 15min salt was partially removed; electrical grill, 5min at 350 °C",5,,2007.0,fi1,DR,1.0,65.76,,6.88,,1.98005,1.73308,2.21257,,,,5.94494,1.4641,0.74842,,,,,,,,,,,,,,,,0.25555,0.00889,0.02606,,1.31446,0.00457,0.00583,0.01971,,,0.3413,0.01272,0.01025,,,,,,,,,,,,,,,,,0.3131,,,0.00615,,,,,,,,0.94798,,0.16576,,,,,,,,,0.01747,,0.01075,,,0.10726,0.00737,,,,,,,,,,,,0.67946,,,,,,,,,,,,,0.01169,,,0.01093,,,,0.10495,,,,0.00183,,,,,0.0284,,,0.08326,,,,0.03248,0.05101,,0.02005,,,,0.37903,,,,0.0055,0.10608,,,0.69784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,901309.0,Finfish,Unknown (samples from Istanbul local fish market),,37.0,HOM,,"Horse mackerel, muscle fillet, raw",r,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,,,1,,2010.0,fi3,DR,1.0,65.98,14.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,901310.0,Finfish,Unknown (samples from Istanbul local fish market),,37.0,HOM,,"Horse mackerel, muscle fillet, fried in sunflower oil",p,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,,frying at 180 °C,1,,2010.0,fi3,DR,1.0,56.52,19.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,901311.0,Finfish,Unknown (samples from Istanbul local fish market),,37.0,HOM,,"Horse mackerel, muscle fillet, grilled",p,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,,electric grill at 180 °C for 30-40min,1,,2010.0,fi3,DR,1.0,59.13,15.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,901312.0,Finfish,Unknown (samples from Istanbul local fish market),,37.0,HOM,,"Horse mackerel, muscle fillet, steamed",p,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,,steaming in automatic cooker (10-20 min for 250g),1,,2010.0,fi3,DR,1.0,61.54,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
