,Food Item ID,"Country, region",Foodname in ,Foodname in English,Processing,Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler ID,Latest version of revision,EDIBLE,ENERC(kJ) (original),ENERC(kcal) (original),WATER(g),DM(g),XN,NT(g),PROTCNT(g),PROTCNP(g),PROT-(g),FAT(g),FATCE(g),FAT-(g),FASAT(g),FAMS(g),FAPU(g),CHOAVLDF(g),CHOAVL(g),CHOAVLM(g),CHOCDF(g),CHO-(g),SUGAR(g),SUGRD(g),FIBTG(g),FIBAD(g),FIBND(g),FIBC(g),FIB-(g),NSP(g),FIBINS(g),FIBSOL(g),CELLU(g),HEMCEL(g),LIGN(g),ASH(g),CA(mg),CLD(mg),CO(mcg),CR(mcg),CU(mg),FE(mg),K(mg),MG(mg),MN(mg),NA(mg),NI(mcg),P(mg),S(mg),SE(mcg),ZN(mg),AL(mcg),PB(mcg),NITRA(mg),VITA_RAE(mcg),VITA(mcg),VITA-(mcg),CARTBEQ(mcg),CAROT(mcg),CARTA(mcg),CARTB(mcg),CARTBCIS(mcg),CARTG(mcg),CRYPX(mcg),CRYPXB(mcg),LYCPN(mcg),LUTN(mcg),NEOX(mcg),NEUROSP(mcg),VIOLX(mcg),ZEA(mcg),CARTOID(mcg),TOCPHA(mg),THIA(mg),RIBF(mg),NIAEQ(mg),NIA(mg),NIATRP(mg),NIA-(mg),FOL-(mcg),VITC(mg),ASCL(mg),ASCDL(mg),VITC-(mg),TRES(g),XYLS(g),MANTL(mg),F14D0(g),F15D0(g),F16D0(g),F17D0(g),F18D0(g),F20D0(g),F22D0(g),F24D0(g),F14D1(g),F16D1(g),F16D1CN7(g),F18D1N9(g),F18D1CN7(g),F18D1(g),F20D1CN11(g),F20D1(g),F22D1(g),F18D2CN6(g),F18D2N6(g),F20D2N6(g),F18D3N3(g),F18D3CN3(g),F20D3N6(g),F18D4N3(g),F20D4N6(g),F22D4N6(g),F20D5N3(g),F22D5N3(g),F22D6N3(g),F22D6CN3(g),AAT18(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),CYSTE(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),MALAC(mg),OXALAC(mg),PHYTCPPI(mg),PHYTCPPD(mg),PHYTCPP(mg),PHYTC-(mg),PPI(mg),PPD(mg),PP-(mg),XP,IP3(mg),IP4(mg),IP5(mg),IP6(mg),IP5_A_IP6 (mg),IP4_A_IP5_A_IP6(mg),IPSUM (mg),PHYT-,CAFFAC(mg),KAEMF(mcg),CHLRAC(mg),CINAC(mg),ELLAC(mg),GALAAC(mg),KAEMF(mcg).1,NARING(mcg),PCHOUAC(mg),QUERCE(mcg),VANAC(mg),ISOHA(mcg),TAN(mg),SAPON(mg),CYAN(mcg),FLAVD(mcg),PH,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245
0,,sampling place,,,"r: raw, d: dried, p: processed",,sampling season,additional information on factors influencing the nutrient composition,number of independent analytical samples,,,,,,edible portion coefficient,Energy (original as from soource),Energy (original as from soource),Water,Dry matter,conversion factor to calculate total protein from nitrogen ,"nitrogen, total","Protein, total; calculated from total nitrogen ","protein, total, calculated from protein nitrogen","Protein, total, method of determination unknown or mixed","fat, total","Fat, total; derived by analysis using continuous extraction","Fat, total, method of determination unknown or mixed methods","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","Carbohydrate, available; calculated by difference","carbohydrate, available","carbohydrate, available; expressed as monosaccharide equivalents","Carbohydrate, total; calculated by difference",carbohydrate; method unknown or variable,Sugar,"sugars, reducing","Fibre, total dietary; determined gravimetrically by the AOAC total dietary fibre method (Prosky and similar methods)",fibre; determined by acid detergent method ,fibre; determined by neutral detergent method,"Fibre, crude",Fibre; method of determination unknown or mixed methods,"polysaccharides, non-starch (Englyst method)","fibre, water-insoluble","fibre, water-soluble",cellulose,hemicellulose,lignin,Ash,Calcium,chloride ,Cobalt,chromium,Copper,Iron,Potassium,Magnesium,Manganese,Sodium,nickel,Phosphorus,sulphur,selenium,Zink,Aluminium,Lead,nitrates,Vitamin A; retinol activity equivalent,Vitamin A; calculated by summation of the vitamin A activities of retinol and the active carotenoids,vitamin A; method unknown or variable,Beta-carotene equivalents,"carotene, total trans",alpha-carotene,Beta-carotene,Beta-carotene cis,gamma-carotene,"cryptoxanthin, total",beta-cryptoxanthin,lycopene,Lutein,Neoxanthin,neurosporene,Violaxanthin (mcg),zeaxanthin,"Carotenoid, total",alpha-tocopherol,Thiamin,Riboflavin,"niacin equivalents, total","niacin, preformed",niacin equivalents from tryptophan,niacin; method or form unknown,Unknown method,Vitamin C ,L-ascorbic acid,L-dehydroascorbic acid,Vitamin C ,trehalose,xylose,mannitol,fatty acid 14:0,fatty acid 15:0,fatty acid 16:0,fatty acid 17:0,fatty acid 18:0,fatty acid 20:0,fatty acid 22:0,fatty acid 24:0,fatty acid 14:1,fatty acid 16:1,fatty acid 16:1 cis n-7,fatty acid 18:1 n-9,fatty acid 18:1 cis n-7,fatty acid 18:1,fatty acid 20:1 cis n-11,fatty acid 20:1,fatty acid 22:1,fatty acid 18:2 cis n-6,fatty acid 18:2 n-6,fatty acid 20:2 n-6,fatty acid 18:3 n-3,fatty acid 18:3 cis n-3,fatty acid 20:3 n-6,fatty acid 18:4 n-3,fatty acid 20:4 n-6,fatty acid 22:4 n-6,fatty acid 20:5 n-3,fatty acid 22:5 n-3,fatty acid 22:6 n-3,fatty acid 22:6 cis n-3,Sum of 18 amino acids (excluding glutamine and asparagine),Alanine,Arginine,Aspartic acid,Cystine,cysteine,Glutamic acid,Glycine,Histidine,Isoleucin,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,malic acid,Oxalic acid,"phytic acid, determined by indirect preciptation","phytic acid, determined by direct preciptation","phytic acid, calc. from phytate phosphorus, anion exchange method","phytic acid, calc. from phytate phosphorus, method unk.","phytate phosphorus, determined by indirect preciptation","phytate phosphorus, determined by direct preciptation","phytate phosphorus, method unk.",convertion factor for phytate phosphorus,inositol triphosphate,inositol tetraphosphate,inositol pentaphosphate,inositol hexaphosphate,inositol penta+hexaphosphate,inositol tetra+penta+hexaphosphate,total inositol phosphates (sum of all fractions),"phytic acid, unk. or variable",caffeic acid,Kaempferol,chlorogenic acid,cinnamic acids,ellagic acid,galacturonic acid ,kaempferol,naringenin,p-coumaric acid,Quercetin,vanillic acid,Isohamnetin,Tannins total,Saponin,Cyanide,Flavonoid,pH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,05,05,05,05,05,,05,,05,,05,05,,,,05,,,05,05,05,,05,,,05,05,,,,,,,05,05,,05,,05,05,05,05,05,05,,05,,,05,05,05,,05,05,,05,,,05,05,,,,,05,05,,05,,05,,05,05,,,,,05,05,05,05,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,05,05,05,05,,05,05,05,05,05,05,05,05,05,05,05,05,05,05,,05,,,,,,,,,,,,,,,,,,05,,,,,,,,05,,05,05,05,,05,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,500355.0,"Guatemala, Alta Verapaz",Txoloj,"Bell tree dahlia, raw",r,Dahlia imperialis Roezl,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community ",3,,,ve4,KE,1.0,,,,90,,6.25,,3.9,,,,,0.7,,,,,,,,3.6,,,,,,1.1,,,,,,,,0.9,101,,,,,1,221,49,,,,58,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,500356.0,"Guatemala, Alta Verapaz",Txoloj,"Bell tree dahlia, cooked",p,Dahlia imperialis Roezl,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community, Cooked, leaves boiled, drained & fried in lard or oil",2,,,ve4,KE,1.0,,,50,87.8,,6.25,,4.9,,,,,1,,,,,,,,3.6,,,,,,1.6,,,,,,,,0.7,109,,,,,4,94,33,,,,55,,,,,,,,,,,,,8900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,500357.0,"Guatemala, Alta Verapaz",Samat,"Green leafy vegetables, raw",r,Eryngium foetidum L,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community ",2,,,ve4,KE,1.0,,,57.7027027027027,89.9,,6.25,,1.7,,,,,0.6,,,,,,,,4.5,,,,,,1.5,,,,,,,,1.4,174,,,,,10,285,38,,,,36,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,500358.0,"Guatemala, Alta Verapaz",Samat,"Green leafy vegetables, cooked",p,Eryngium foetidum L,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community, Cooked, leaves boiled in meat broth",1,,,ve4,KE,1.0,,,,74,,6.25,,7.8,,,,,2.5,,,,,,,,6.5,,,,,,5.3,,,,,,,,1.9,434,,,,,25,191,59,,,,87,,,,,,,,,,,,,2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,500359.0,"Guatemala, Alta Verapaz",Yerba buena,"Mint, raw",r,Mentha citrata Ehrh,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community",1,,,ve4,KE,1.0,,,,93.7,,6.25,,1.8,,,,,0.6,,,,,,,,2,,,,,,0.7,,,,,,,,0.9,99,,,,,4,230,31,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,500360.0,"Guatemala, Alta Verapaz",Yerba buena,"Mint, cooked",p,Mentha citrata Ehrh,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community, cooked, boiled in meat broth",1,,,ve4,KE,1.0,,,,86.2,,6.25,,4.8,,,,,1.2,,,,,,,,3.3,,,,,,2.3,,,,,,,,1.1,209,,,,,9,152,43,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,500361.0,"Guatemala, Alta Verapaz",Perejil (Spanish name but also used by Kekchi people) ,"Parsley, raw",r,Petroselinum crispum Nym,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community",1,,,ve4,KE,1.0,,,,88.7,,6.25,,2.2,,,,,0.4,,,,,,,,4.7,,,,,,1.3,,,,,,,,1.8,129,,,,,3,559,19,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,500362.0,"Guatemala, Alta Verapaz",Perejil (Spanish name but also used by Kekchi people) ,"Green leafy vegetables, raw",p,Petroselinum crispum Nym,"Jun, Nov, Dec","From San Pedro Carcha municipality, consumed by Kekchi-speaking community, cooked, boiled in water leaves and liquid is consumed",1,,,ve4,KE,1.0,,,,85.3,,6.25,,4.9,,,,,1.2,,,,,,,,3.9,,,,,,2.2,,,,,,,,1.5,229,,,,,4,391,29,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
