,FoodID,"Country, region",Food name in English,Processing,Species/Subspecies,Cultivar/Variety/Accession Name,BiblioID,ENERC(kJ),ENERC(kcal),WATER(g),NT(g),PROTCNT(g),CHOAVLDF(g),FIBTG(g),FATCE(g),CHOLE(mg),FACID(g),FASAT(g),FAMS(g),FAPU(g),ASH(g),CA(mg),CU(mg),FE(mg),K(mg),MG(mg),MN(mg),NA(mg),P(mg),ZN(mg),THIA(mg),RIBF(mg),NIA(mg),NIAEQ(mg),VITB6C(mg),VITB12(mcg),VITC(mg),FOL(mcg),VITA(mcg),VITA_RAE(mcg),RETOL(mcg),CARTBEQ(mcg),CARTA(mcg),CARTB(mcg),CRYPXB(mcg),TOCPHA(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),IP3(mg),IP4(mg),IP5(mg),IP6(mg)
0,Food Item ID,,,"r: raw, d: dried, p: processed",,,,"energy, total metabolizable; calculated from the energy-producing food components","energy, total metabolizable; calculated from the energy-producing food components",water,"nitrogen, tot.","protein, total; calculated from total nitrogen ","carbohydrate, available; calculated by difference","fibre, total dietary","fat, total; derived by analysis using continuous extraction",cholesterol,"FA, total","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated",ash,calcium,copper,"iron, total",potassium,magnesium,manganese,sodium,phosphorus,zinc,thiamin,riboflavin,"niacin, preformed",niacin eq from tryptophan,vitamin B6; calc.,Vit B12,vitamin C ,"folate, tot.",Vit. A RE,Vit. A RAE,retinol,b-carot. eq.,"a-carot., all-trans","b-carot., all-trans",all-trans beta-cryptoxanthin,a-tocopherol,alanine,arginine,aspartic acid,cystine,glutamic acid,glycine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,inositol triphosphate,inositol tetraphosphate,inositol pentaphosphate,inositol hexaphosphate
1,VIA001,,"Adzuki bean, mature, whole, dried, raw",d/r,Vigna angularis (Willd) Ohwi & H. Ohashi,,"pu075, pu255, McW/2015 (13-041), USDA/SR28 (16001)",1340,318.06187461491066,10.969999999999999,3.2749333333333333,20.468333333333334,51.270937307455334,13.062396025878003,0.5533333333333333,0,0.42883333333333334,0.16038366666666665,0.021870499999999998,0.24657916666666668,3.675,75,1.092,4.59,1240,128.5,1.7149999999999999,5,380.5,5.02,0.4679834796672828,0.22,2.615,5.8941911312419615,0.3610158271719039,0,tr,639.7488447319779,2.088050314465409,1.0440251572327044,0,12.528301886792454,0,12.528301886792454,0,,1190,1320,2430,189.5406810937762,3190,778.7649723200805,539.7788961583626,814.8189062237878,1720,1540,216.32360342224456,1080,900.3182351954368,1000,694.2957557456801,196.7514678745177,608.7964267740311,1050,,,,
2,VIA002,,"Adzuki bean, mature, whole, water-soaked, boiled in different water, without salt, drained",p,Vigna angularis ,,calculated from VIA001,480.1928937263443,113.59352664818235,68.20357142857144,1.1696190476190476,7.310119047619048,18.311049038376893,4.665141437813572,0.19761904761904764,0,0.15315476190476193,0.057279880952380964,0.007810892857142858,0.08806398809523812,1.3125,22.767857142857142,0.27299999999999996,1.393392857142857,331.3392857142857,39.00892857142857,0.6124999999999999,1.3392857142857142,122.30357142857142,1.6135714285714284,0.10863902206561923,0.05892857142857143,0.6070535714285715,1.7781932611578437,0.09025395679297596,0,tr,110,0.7457322551662174,0.3728661275831087,0,4.474393530997305,0,4.474393530997305,0,,426.7608502887818,472.3801135955136,866.3981055431734,67.69310039063434,1140.1136853835644,278.1303472571716,192.77817719941524,291.00675222278136,613.6526709324896,550.7422352433675,77.25842979365878,387.02794353775727,321.54222685551315,359.06774989814744,247.9627699091715,70.26838138375632,217.42729527643968,376.3589222805377,,,,
3,VIA003,,"Adzuki bean, mature, whole, water-soaked, boiled in different water, without salt (water not discarded)",p,Vigna angularis ,,calculated from VIA001,292.29132661603614,69.14388578585022,80.64565217391304,0.7119420289855074,4.449637681159421,11.14585593640335,2.8396513099734797,0.12028985507246377,0,0.09322463768115942,0.03486601449275362,0.00475445652173913,0.05360416666666667,0.798913043478261,16.30434782608696,0.23739130434782615,0.9978260869565218,242.0217391304348,27.934782608695656,0.37282608695652175,0.9782608695652175,82.71739130434783,1.0913043478260869,0,0.04782608695652175,0.426358695652174,1.1392263328786876,0.05493719109137667,0,tr,76.49170969621476,0.45392398140552376,0.22696199070276188,0,2.7235438884331424,0,2.7235438884331424,0,,259.76747408882375,287.53572131900836,527.3727598958449,41.20449588995135,693.9822432769524,169.296733113061,117.34323829529626,177.13454483125827,373.5277127415156,335.2344040611803,47.026870309183614,235.5822265012436,195.72135547726893,218.56297819887243,150.93385994471313,42.77205823359081,132.34704929870244,229.08803964902302,,,,
4,VSU001,,"Bambara groundnuts, dried, raw",d/r,Vigna subterranea (L) Verdc.,,"2E, pu094",1360,324.59555,9.016666666666667,2.9510853333333333,18.444283333333335,33.735183333333325,28.934016666666665,6.445516666666666,0,4.995275416666667,1.6036303141419228,1.2064613007750433,2.185183801749701,3.4243333333333332,39.966,0.6887,2.731783333333333,1330,171.5295,1.15015,2.3775,223.59816666666666,1.9427333333333336,0.0425,0.07,2.2925,4.208533718347557,,0,nd,,nd,nd,0,nd,,,,nd,855.7468913913854,1270,2130,144.2712327723512,3250,552.3381087616041,394.33952752469577,870.2071512289372,1510,1220,399.2832138139078,945.5129547668689,830.9956149293793,1140,834.1412263495987,114.96202310085339,449.42433566419504,835.7964620699146,,,,250.7525
5,VSU002,,"Bambara groundnuts, water-soaked, boiled in different water, without salt, drained",p,Vigna subterranea (L) Verdc.,,calculated from VSU001,504.46363692688965,120.66749070631968,66.17719950433705,1.0970577447335812,6.856610904584882,12.540960346964061,10.756140024783146,2.3961028500619577,0,1.8569797087980173,0.5961450981940233,0.4484986248234361,0.8123359857805579,1.2729863692688972,12.628661710037175,0.1792156133828996,0.8632029120198264,371.3224442379182,54.2007713754647,0.4275650557620818,0.6628717472118959,74.80979553903346,0.6499851301115243,0.010269516728624537,0.01951672862453532,0.5539498141263941,1.2662300068206531,,0,,,nd,nd,0,nd,,,,nd,318.1215209633403,473.2967794941949,790.1814683569849,53.63242853990751,1210,205.33015195598665,146.59461989765643,323.4970822412406,559.7689101440081,454.64567301201816,148.43242149215905,351.49180474604793,308.9203029477247,422.6095524017275,310.08967522289913,42.736811561655536,167.07224374133645,310.70500448695714,,,,62.45508364312268
6,VSU003,,"Bambara groundnuts, water-soaked, boiled in different water, without salt (water not discarded)",p,Vigna subterranea (L) Verdc.,,calculated from VSU001,307.0151998491704,73.437907239819,79.41553544494721,0.6676663650075415,4.172914781297134,7.632394419306182,6.54615761689291,1.4582616892911011,0,1.1301528092006035,0.3628122882674033,0.27295504542421795,0.49438547550898215,0.77473604826546,9.0420814479638,0.15581447963800904,0.6180505279034689,271.18299773755655,38.80757918552036,0.26021493212669683,0.48410633484162896,50.587820512820514,0.43953242835595785,0.007211538461538462,0.015837104072398193,0.3889988687782805,0.8224906602596282,,0,,,nd,nd,0,nd,,,,nd,193.60789397995143,288.04713503153494,480.90229635300665,32.64055040098444,735.5416274831318,124.96337302298735,89.21708767527055,196.87944597939756,340.6738389790457,276.69612226297033,90.33556873617823,213.9169580920518,188.00805767633017,257.1990262354405,188.719734468235,26.00950748888086,101.67971395117536,189.0942221877635,,,,41.98118778280543
7,PHV002,,"Black turtle bean, mature, whole, dried, raw",d/r,Phaseolus vulgaris L,Black turtle,"pu007, pu008, pu009, pu067, pu106, pu116, pu224, pu225, pu255, pu262, pu265, pu270, pu271, USDA/SR28 (16014)",1290,305.71105033101855,11.449866666666667,3.558276250911094,22.239226568194336,39.67995958226863,21.053079583333332,1.7697940624999997,0,1.3715903984374997,0.32051262085669385,0.15482138347453833,0.8951934115474783,3.808073537037037,104.66207777777778,0.9966666666666667,6.599465703703704,1830.202875,180.14795833333332,1.071406376,4.9,471.49651111111115,2.8186911481481483,0.5083333333333335,0.19206760770210535,3.2775,7.421736264656411,0.6137515604808709,0,tr,440,0,0,0,0,0,0,0,0.261730107834507,1030,1350,2680,110.75134830960779,3600,955.2340857081285,627.0122756007343,808.0683815313133,1570,1380,196.31804789418013,1070,978.7644766478039,1300,936.4252616616847,248.65417587938467,678.2575019224876,1020,nd,5.755758666666667,96.04147461333334,829.8918496
8,PHV013,,"Black turtle bean, mature, whole, water-soaked, boiled in different water, without salt, drained",p,Phaseolus vulgaris L,Black turtle,calculated from PHV002,547.460928313633,130.08980865149726,62.31909219858156,1.5141601067706782,9.463500667316739,16.885089183944103,8.958757269503545,0.7531038563829786,0,0.5836554886968084,0.13638834930072077,0.06588143977639929,0.3809333666159482,1.6204568242710795,37.85649621749409,0.2968794326241135,2.3870407864460206,584.1073005319148,65.15989982269502,0.4559176068085107,1.5638297872340428,180.57313191489362,1.0794987375886524,0.14060283687943267,0.06129817267088469,0.9065425531914892,2.6700473466623023,0.1828196137602594,0,tr,94.01170523617547,0,0,0,0,0,0,0,0.10023706257491759,439.0993421989519,576.2292923568241,1140,47.12823332323736,1530.4122206717946,406.4825896630334,266.8137342981848,343.85888575800567,668.384802658992,588.6204125402352,83.53959484858729,454.6965147758402,416.4955219777889,551.5868960378899,398.47883474965306,105.81028760824879,288.62021358403723,434.83091663106006,,,,236.60746350297873
9,PHV014,,"Black turtle bean, seeds, mature, whole, water-soaked, drained, boiled without salt (cooking water not discarded)",p,Phaseolus vulgaris L,Black turtle,calculated from PHV002,297.12082714481227,70.60301393326063,79.54962278675904,0.8217728062150332,5.136080038843958,9.163962952025088,4.862143090839107,0.40872842090069283,0,0.31676452619803697,0.07402139049808172,0.03575551581398115,0.20674212737817055,0.87946271063211,24.171380549140366,0.23017705927636645,1.5241260285689846,380.41168302540416,41.60460931485758,0.24743796212471134,1.0184757505773672,108.89064921734668,0.6509679325977248,0.08804849884526562,0.04435741517369638,0.5676963048498845,1.524794749343282,0.09922080654425162,0,tr,56.1247709088946,0,0,0,0,0,0,0,0.060445752386722174,238.31026655139422,312.73414250312624,618.3737387719727,25.577678593442908,830.5932375470478,220.6083338817849,144.80653016183237,186.62087333286684,362.74925779414116,319.459115350936,45.33904108410626,246.77524473977473,226.04260430665218,299.3600936926192,216.26449461008883,57.42590666960385,156.64145540935047,235.99368454572544,,,,141.82909207944573
